28	15
-6	27
-26	5
-24	-15
31	13
-23	-19
4	32
2	33
-25	-15
31	14
-12	-25
-6	-24
18	7
-3	33
15	-13
15	6
10	27
-14	-29
7	-23
30	13
13	-15
-14	-30
15	-3
-31	-9
2	34
-13	16
-32	-8
-29	-9
27	18
-32	-9
28	18
10	25
28	8
19	7
2	35
-15	15
13	-16
11	27
-18	14
-16	-27
32	12
30	14
14	-15
-8	-26
-26	-7
32	11
-14	16
1	35
11	28
28	7
3	35
4	35
-24	-19
-24	-18
31	15
33	12
17	6
18	6
3	-23
31	16
-6	32
-19	14
29	18
-4	31
-33	-9
-6	26
-32	-7
-34	-9
-7	31
5	35
30	9
18	5
8	-22
-34	-10
4	34
28	6
-25	-19
-23	12
12	28
23	20
32	16
-8	31
32	10
0	35
8	-23
1	-26
-13	-30
-19	15
-6	33
33	13
22	19
-21	-20
16	16
-25	11
-26	-15
-34	-11
-9	31
-33	-11
2	-26
11	29
-20	-20
-19	16
24	19
33	14
2	-27
-29	-6
7	-20
-9	-26
4	36
-25	12
27	8
12	29
12	27
-23	-20
-6	34
-8	18
-7	32
-33	-7
-7	34
-33	-12
-6	-22
-1	35
6	35
32	9
14	-8
29	6
1	-27
34	12
30	16
-6	35
27	7
-5	34
12	-11
-26	0
1	-28
9	-22
20	18
-26	4
9	-23
27	6
35	12
-7	33
-34	-12
-13	-29
16	-3
3	-24
-20	16
-35	-9
-16	-26
30	6
-35	-8
27	5
-36	-9
12	-16
14	-16
15	-15
-26	-19
9	-24
-10	31
-26	-20
36	12
17	5
1	36
4	37
-15	-30
-35	-10
30	15
16	-15
-32	-11
-17	-27
-34	-13
-20	17
3	-27
-35	-7
10	24
3	37
33	9
35	13
-17	-28
-15	-31
12	-6
24	20
-8	34
6	36
10	-24
3	38
-7	35
26	5
8	-24
-9	34
-37	-9
30	18
5	36
37	12
5	37
13	27
37	13
37	11
-10	34
-23	13
3	-25
30	5
2	37
-35	-13
-5	35
11	-24
-24	13
-10	35
38	12
-35	-6
-38	-9
-11	35
31	5
-21	16
-15	-32
16	-14
-21	17
5	34
2	36
-24	-20
6	34
15	-8
-36	-6
-6	36
-36	-13
10	-25
-7	36
1	37
10	-26
-37	-10
11	-26
32	17
33	17
-11	36
-24	14
38	11
-14	-32
12	-26
-37	-8
38	10
13	-17
-35	-5
-6	37
-14	-31
31	4
17	-14
-36	-10
-36	-5
-13	-32
38	13
-16	-32
14	-17
